11956927,xszwvzrr,Electronic and Communication Engineering,DataBase Management System
79240359,zvtquszx,Electrical and Electronic Engineering,Operating System
13721163,twrrsxtr,Electrical and Electronic Engineering,Operating System
54288988,yyzyysuv,Civil Engineering,Machine Learning
11045054,uvqvuqrr,Metallurgical Engineering,Machine Learning
14243296,wzstusur,Mechanical Engineering,DataBase Management System
31515143,turvrvrt,Chemical Engineering,DataBase Management System
2818856,wvyyrys,Metallurgical Engineering,DataBase Management System
76818247,xusyrywx,Chemical Engineering,DataBase Management System
86000166,wwrqqqwy,Metallurgical Engineering,Operating System
84225860,qwyvssuy,Civil Engineering,DataBase Management System
58005631,rtwvqqyv,Mechanical Engineering,DataBase Management System
60848449,zuuyuyqw,Electronic and Communication Engineering,Application
26623198,yzrtswws,Electronic and Communication Engineering,Operating System
3792714,urxszxt,Metallurgical Engineering,DataBase Management System
11758202,sqsyvxrr,Mechanical Engineering,Machine Learning
92969068,ywqzwzsz,Metallurgical Engineering,Operating System
43365177,xxrvwttu,Computer Science and Engineering,Operating System
87668951,rvzywwxy,Electronic and Communication Engineering,DataBase Management System
43946247,xuswuztu,Metallurgical Engineering,Application
43493226,wsstzutu,Computer Science and Engineering,DataBase Management System
23114355,vvturrts,Electronic and Communication Engineering,Application
93861787,xyxrwytz,Mechanical Engineering,Operating System
70741510,qrvruxqx,Electrical and Electronic Engineering,Machine Learning
77691492,szurzwxx,Electrical and Electronic Engineering,Machine Learning
50665986,wyzvwwqv,Electrical and Electronic Engineering,Application
65011031,rtqrrqvw,Electrical and Electronic Engineering,DataBase Management System
55774627,xswuxxvv,Computer Science and Engineering,Operating System
34062129,zsrswqut,Electrical and Electronic Engineering,Machine Learning
48066273,txswwqyu,Electrical and Electronic Engineering,DataBase Management System
62887583,tyvxyysw,Metallurgical Engineering,Operating System
50546691,rzwwuvqv,Electronic and Communication Engineering,Machine Learning
653780,qyxtvw,Metallurgical Engineering,Operating System
8664596,wzvuwwy,Chemical Engineering,Application
18648456,wvuyuwyr,Electronic and Communication Engineering,Operating System
19251698,yzwrvszr,Electrical and Electronic Engineering,Operating System
60477429,zsuxxuqw,Electrical and Electronic Engineering,Application
34565367,xwtvwvut,Computer Science and Engineering,Machine Learning
